odt,Proceso1,Proceso2,Proceso3,Proceso4,Proceso5,Proceso6,Fecha1,Fecha1F,Fecha2,Fecha2F,Fecha3,Fecha3F,Fecha4,Fecha4F,Fecha5,Fecha5F,Fecha6,Fecha6F
B5903,Corte,Suaje,Serigrafia,Grabado,Acabado,,2017-08-29,2017-08-30,2017-08-30,2017-08-31,2017-08-31,2017-09-01,2017-09-01,2017-09-04,2017-09-04,2017-09-05,2017-09-05,2017-09-05
G0902,Corte,Suaje,Serigrafia,Hot Stamping,Acabado,,2017-09-05,2017-09-06,2017-09-06,2017-09-08,2017-09-08,2017-09-11,2017-09-11,2017-09-12,2017-09-12,2017-09-13,2017-09-13,2017-09-13
H3960R,,,,,,,,,,,,,,,,,,
I3322,Corte,Suaje,Serigrafia,Grabado,Acabado,,2017-08-08,2017-08-09,2017-08-09,2017-08-10,2017-08-10,2017-08-11,2017-08-11,2017-08-14,2017-08-14,2017-08-15,2017-08-15,2017-08-15
H3983,,,,,,,,,,,,,,,,,,
B5926R,,,,,,,,,,,,,,,,,,
70021,,,,,,,,,,,,,,,,,,
H4064,,,,,,,,,,,,,,,,,,
I3363,Corte,Suaje,Serigrafia,Acabado,,,2017-08-10,2017-08-11,2017-08-11,2017-08-14,2017-08-14,2017-08-15,2017-08-15,2017-08-16,2017-08-16,2017-08-16,2017-08-16,2017-08-16
I3339,Corte,Serigrafia,Acabado,,,,2017-08-18,2017-08-21,2017-08-21,2017-08-22,2017-08-22,2017-08-25,2017-08-25,2017-08-25,2017-08-25,2017-08-25,2017-08-25,2017-08-25
68247,Corte,Digital,Acabado,,,,2017-08-30,2017-08-31,2017-08-31,2017-09-01,2017-09-01,2017-09-06,2017-09-06,2017-09-06,2017-09-06,2017-09-06,2017-09-06,2017-09-06
H4003,Corte,Suaje,Serigrafia,Acabado,,,2017-08-25,2017-08-28,2017-08-28,2017-08-29,2017-08-29,2017-08-30,2017-08-30,2017-08-31,2017-08-31,2017-08-31,2017-08-31,2017-08-31
68251,Corte,Digital,Acabado,,,,2017-09-07,2017-09-08,2017-09-08,2017-09-11,2017-09-11,2017-09-14,2017-09-14,2017-09-14,2017-09-14,2017-09-14,2017-09-14,2017-09-14
B5939,Corte,Suaje,Serigrafia,Hot Stamping,Acabado,,2017-08-29,2017-08-30,2017-08-30,2017-09-01,2017-09-01,2017-09-05,2017-09-05,2017-09-06,2017-09-06,2017-09-08,2017-09-08,2017-09-08
68252,,,,,,,,,,,,,,,,,,
H4024,Corte,Suaje,Serigrafia,Acabado,,,2017-08-30,2017-08-31,2017-08-31,2017-09-01,2017-09-01,2017-09-04,2017-09-04,2017-09-05,2017-09-05,2017-09-05,2017-09-05,2017-09-05
D2342,Corte,Suaje,Serigrafia,Hot Stamping,Acabado,,2017-08-31,2017-09-01,2017-09-01,2017-09-04,2017-09-04,2017-09-05,2017-09-05,2017-09-07,2017-09-07,2017-09-08,2017-09-08,2017-09-08
B5991,Corte,Suaje,Serigrafia,Grabado,Acabado,,2017-09-13,2017-09-14,2017-09-14,2017-09-15,2017-09-15,2017-09-19,2017-09-19,2017-09-20,2017-09-20,2017-09-21,2017-09-21,2017-09-21
I3350,Corte,Suaje,Serigrafia,Grabado,Acabado,,2017-08-15,2017-08-16,2017-08-16,2017-08-17,2017-08-17,2017-08-18,2017-08-18,2017-08-21,2017-08-21,2017-08-22,2017-08-22,2017-08-22
I3351,Digital,Acabado,,,,,2017-08-14,2017-08-15,2017-08-15,2017-08-16,2017-08-16,2017-08-16,2017-08-16,2017-08-16,2017-08-16,2017-08-16,2017-08-16,2017-08-16
I3351R,,,,,,,,,,,,,,,,,,
70022,,,,,,,,,,,,,,,,,,
J1058,Corte,Suaje,Serigrafia,Acabado,,,2017-08-18,2017-08-21,2017-08-21,2017-08-23,2017-08-23,2017-08-25,2017-08-25,2017-08-30,2017-08-30,2017-08-30,2017-08-30,2017-08-30
J1059,Corte,Suaje,Serigrafia,Acabado,,,2017-08-17,2017-08-18,2017-08-18,2017-08-22,2017-08-22,2017-08-23,2017-08-23,2017-08-24,2017-08-24,2017-08-24,2017-08-24,2017-08-24
H4044,,,,,,,,,,,,,,,,,,
68258,,,,,,,,,,,,,,,,,,
68259,,,,,,,,,,,,,,,,,,
H4070,Corte,Suaje,Serigrafia,Hot Stamping,Acabado,,2017-08-17,2017-08-18,2017-08-18,2017-08-22,2017-08-22,2017-08-23,2017-08-23,2017-08-24,2017-08-24,2017-08-28,2017-08-28,2017-08-28
